order,type,orderNumber
Mashed Potatoes,Side,14
Filet Mignon,Meat,14
Blackstone Merlot,Wine,14
Mashed Potatoes,Side,22
Pork Tenderloin,Meat,22
Cantina Pinot Bianco,Wine,22
Mashed Potatoes,Side,27
Pork Tenderloin,Meat,27
Cantina Pinot Bianco,Wine,27
Mashed Potatoes,Side,76
Pork Tenderloin,Meat,76
Cantina Pinot Bianco,Wine,76
Caesar Salad,Side,115
Filet Mignon,Meat,115
Meiomi Pinot Noir,Wine,115
Caesar Salad,Side,142
Filet Mignon,Meat,142
Blackstone Merlot,Wine,142
Caesar Salad,Side,147
Roast Chicken,Meat,147
Duckhorn Chardonnay,Wine,147
Caesar Salad,Side,160
Duck,Meat,160
Duckhorn Chardonnay,Wine,160
Caesar Salad,Side,174
Filet Mignon,Meat,174
Duckhorn Chardonnay,Wine,174
Caesar Salad,Side,186
Pork Tenderloin,Meat,186
Cantina Pinot Bianco,Wine,186
Caesar Salad,Side,201
Pork Tenderloin,Meat,201
Cantina Pinot Bianco,Wine,201
Roasted Root Veg,Side,204
Filet Mignon,Meat,204
Blackstone Merlot,Wine,204
Roasted Root Veg,Side,212
Pork Tenderloin,Meat,212
Cantina Pinot Bianco,Wine,212
Roasted Root Veg,Side,230
Filet Mignon,Meat,230
Blackstone Merlot,Wine,230
Roasted Root Veg,Side,239
Roast Chicken,Meat,239
Duckhorn Chardonnay,Wine,239
Roasted Root Veg,Side,246
Roast Chicken,Meat,246
Meiomi Pinot Noir,Wine,246
Roasted Root Veg,Side,253
Pork Tenderloin,Meat,253
Cantina Pinot Bianco,Wine,253
Roasted Root Veg,Side,253
Duck,Meat,253
Meiomi Pinot Noir,Wine,253
Roasted Root Veg,Side,270
Pork Tenderloin,Meat,270
Cantina Pinot Bianco,Wine,270
Roasted Root Veg,Side,271
Filet Mignon,Meat,271
Meiomi Pinot Noir,Wine,271
Roasted Root Veg,Side,274
Pork Tenderloin,Meat,274
Cantina Pinot Bianco,Wine,274
Roasted Root Veg,Side,281
Filet Mignon,Meat,281
Meiomi Pinot Noir,Wine,281
Roasted Root Veg,Side,282
Pork Tenderloin,Meat,282
Cantina Pinot Bianco,Wine,282
Roasted Root Veg,Side,286
Filet Mignon,Meat,286
Blackstone Merlot,Wine,286
Roasted Root Veg,Side,307
Pork Tenderloin,Meat,307
Cantina Pinot Bianco,Wine,307
Roasted Root Veg,Side,320
Pork Tenderloin,Meat,320
Cantina Pinot Bianco,Wine,320
Roasted Root Veg,Side,321
Pork Tenderloin,Meat,321
Cantina Pinot Bianco,Wine,321
Roasted Root Veg,Side,336
Roast Chicken,Meat,336
Duckhorn Chardonnay,Wine,336
Roasted Root Veg,Side,337
Duck,Meat,337
Blackstone Merlot,Wine,337
Roasted Root Veg,Side,392
Filet Mignon,Meat,392
Blackstone Merlot,Wine,392
Roasted Root Veg,Side,393
Filet Mignon,Meat,393
Blackstone Merlot,Wine,393
Roasted Root Veg,Side,394
Roast Chicken,Meat,394
Duckhorn Chardonnay,Wine,394
Baked Beans,Side,414
Pork Tenderloin,Meat,414
Cantina Pinot Bianco,Wine,414
Baked Beans,Side,416
Filet Mignon,Meat,416
Blackstone Merlot,Wine,416
Baked Beans,Side,431
Pork Tenderloin,Meat,431
Cantina Pinot Bianco,Wine,431
Baked Beans,Side,433
Pork Tenderloin,Meat,433
Cantina Pinot Bianco,Wine,433
Baked Beans,Side,441
Pork Tenderloin,Meat,441
