Title,URL
Bootcamp Primer 1 Scalar Multiplication and,https://www.youtube.com/watch?v=KWbt-_Vfo8E
Bootcamp Primer 2 Matrix Multiplication,https://www.youtube.com/watch?v=6-yXP2dfZqE
Bootcamp Primer 3 Special Matrices and Operat,https://www.youtube.com/watch?v=7PuwRZEXOyg
Bootcamp Primer 4 Systems of Equations and Least Squares,https://www.youtube.com/watch?v=TVYLJp1mlUg
"Bootcamp Primer 5 Norms, Distances, Similarit",https://www.youtube.com/watch?v=d2Z7rAe5rXs
Bootcamp Primer 6 Covariance,https://www.youtube.com/watch?v=42-2Qh7oOfg
1 Spans and Subspaces,https://www.youtube.com/watch?v=IcZOrEa94xo
2 Coordinates and Bases,https://www.youtube.com/watch?v=CuRuBt0J78k
3 A Change of Basis,https://www.youtube.com/watch?v=eroAXrYx6eE
4 One Step Further,https://www.youtube.com/watch?v=e8H9QUsev9I
5 A More Complete Example,https://www.youtube.com/watch?v=w2_biVISZ8I
6 Orthonormal Basis,https://www.youtube.com/watch?v=dak4efAkgiQ
7 Orthogonal Matrix,https://www.youtube.com/watch?v=uRqwU9Q_G_U
8 Orthogonal Projections,https://www.youtube.com/watch?v=L2RNAAEjIYs
9 Regression as an Orthogonal Projection,https://www.youtube.com/watch?v=qWhXjG8WuA4
10 Defining Eigenvalues and Eigenvectors,https://www.youtube.com/watch?v=UMU1zyheAzA
11 EigenFacts,https://www.youtube.com/watch?v=GCIrIr0XIFc
12 Introduction to PCA,https://www.youtube.com/watch?v=m-E7ShQT3vw
13 2D data in a 3D world,https://www.youtube.com/watch?v=8JjBGgb3eSk
14 Eigenvalues Give Variance,https://www.youtube.com/watch?v=JMB6U6bBj6o
15 Loadings and Scores,https://www.youtube.com/watch?v=RknykfS2Cak
16 Covariance vs Correlation PCA,https://www.youtube.com/watch?v=C0BogYNuj1U
17 The BiPlot ukfood,https://www.youtube.com/watch?v=7jHN-4pUiug
18 FIFA Players PCA,https://www.youtube.com/watch?v=icslgpz5uBk
19 PCA Recap,https://www.youtube.com/watch?v=5IJl740WFk4
21 Biased Regression and PCR,https://www.youtube.com/watch?v=hbNrG00FM4E
22 Choosing the number of components CV,https://www.youtube.com/watch?v=OIek0maXJ5c
23 PCR in SAS BaseballSalary,https://www.youtube.com/watch?v=rPBuaH1yBjg
24 PCR Example with Big Data,https://www.youtube.com/watch?v=yk6Cvf8vIiM
25 Partial Least Squares w Example,https://www.youtube.com/watch?v=1c6Ct-vt7-Y
26 The Singular Value Decomposition,https://www.youtube.com/watch?v=078kD7_kSrc
27 Noise Reduction via SVD,https://www.youtube.com/watch?v=s7WQVZ_wNWk
